t_ms,raw_Thumb,raw_Index,raw_Middle,raw_Ring,raw_Little,ema_Thumb,ema_Index,ema_Middle,ema_Ring,ema_Little,label
582737,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,27.60692107628006,27.965700271854175,28.92291623934794,28.726299968880923,28.006006769824246,stop
582837,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,28.757368061024053,29.04439141748334,29.810164191478357,29.652871175104742,29.0766366158594,stop
582937,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,29.677725648819248,29.90734433398667,30.519962553182687,30.394128140083794,29.93314049268752,stop
583037,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,30.4140117190554,30.597706667189343,31.08780124254615,30.987133712067035,30.61834359415002,stop
583137,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,31.003040575244327,31.149996533751477,31.54207219403692,31.46153816965363,31.166506075320015,stop
583237,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,31.47426366019546,31.591828427001182,31.905488955229536,31.841061735722903,31.605036060256012,stop
583337,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,31.851242128156372,31.94529394160095,32.19622236418363,32.144680588578325,31.955860048204812,stop
583437,29.829113,33.359156000000006,32.637932,25.256756000000003,17.465516,31.446816302525097,32.22806635328077,32.28456429134691,30.76709567086266,29.05779123856385,stop
583537,15.394197,15.336735,19.386076,19.836207,13.730769,28.23629244202008,28.849800082624615,29.70486663307753,28.580917936690128,25.99238679085109,stop
583637,13.058823,13.058823,17.611969000000002,15.51031,11.914634,25.200798553616067,25.691604666099693,27.286287106462023,25.966796349352105,23.17683623268087,stop
583737,11.224936,8.943038,11.629974,9.958333,7.323529000000001,22.405626042892855,22.34189133287975,24.15502448516962,22.765103679481683,20.006174786144697,stop
583837,5.88806,6.483871,8.748447,7.666667,5.0912120000000005,19.102112834314283,19.17028726630381,21.0737089881357,19.745416343585347,17.023182228915758,stop
583937,5.432773,6.2708010000000005,8.520243,7.386894,4.878866,16.368244867451427,16.590390013043045,18.56301579050856,17.27371187486828,14.594318983132608,stop
584037,5.790132,6.614754,9.099571,7.928571,5.253069,14.252622293961142,14.595262810434438,16.67032683240685,15.404683699894624,12.726068986506087,stop
584137,5.779412000000001,6.641447,9.168104,8.01923,5.1442950000000005,12.557980235168914,13.00449964834755,15.169882265925482,13.9275929599157,11.20971418920487,stop
584237,5.790132,6.628079,9.076923,7.735075,5.047619,11.204410588135133,11.72921551867804,13.951290412740386,12.689089367932562,9.977295151363895,stop
584337,6.022797,6.777591999999999,9.598654,8.4,5.501415,10.168087870508106,10.738890814942431,13.08076313019231,11.83127149434605,9.082119121091118,stop
584437,8.186889,11.595238,15.279661,13.591464,9.284313,9.771848096406488,10.910160251953949,13.520542704153849,12.18330999547684,9.122557896872896,stop
584537,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,14.489309677125192,15.39995940156316,17.48826536332308,16.418479196381476,13.969877517498318,stop
584637,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,18.26327894170016,18.99179872125053,20.662443490658468,19.806614557105185,17.84773321399866,stop
584737,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,21.28245435336013,21.865270177000426,23.20178599252678,22.51712284568415,20.95001777119893,stop
584837,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,23.697794682688105,24.164047341600345,25.233259994021424,24.685529476547323,23.43184541695915,stop
584937,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,25.630066946150485,26.00306907328028,26.858439195217144,26.42025478123786,25.417307533567325,stop
585037,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,27.17588475692039,27.474286458624228,28.15858255617372,27.80803502499029,27.005677226853862,stop
585137,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,28.412539005536317,28.651260366899383,29.198697244938977,28.918259219992237,28.276372981483092,stop
585237,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,29.401862404429053,29.592839493519513,30.030788995951184,29.806438575993795,29.29292958518648,stop
585337,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,30.19332112354324,30.346102794815614,30.69646239676095,30.516982060795037,30.106174868149186,stop
585437,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,30.826488098834595,30.948713435852497,31.229001117408764,31.08541684863603,30.75677109451935,stop
585537,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,31.333021679067677,31.430801948682003,31.655032093927012,31.540164678908823,31.27724807561548,stop
585637,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,31.738248543254144,31.816472758945608,31.995856875141612,31.903962943127063,31.69362966049239,stop
585737,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,30.23077,32.06243003460332,32.12500940715649,32.268516700113295,32.19500155450165,31.401057728393916,stop
585837,23.126865,30.23077,31.281457,26.153633000000003,17.039326000000003,30.275317027682657,31.746161525725196,32.07110476009064,30.98672784360132,28.528711382715137,stop
585937,18.142857,18.540486,24.970588,20.306168000000003,15.055184,27.848825022146123,29.10502642058016,30.651001408072513,28.85061587488106,25.83400590617211,stop
586037,12.973685,12.973685,17.393129000000002,14.314696,10.174528,24.873797017716903,25.87875813646413,27.99942692645801,25.94343189990485,22.702110324937692,stop
586137,12.5625,12.724138,17.465516,14.729509,9.931871,22.41153761417352,23.247834109171304,25.89264474116641,23.700647319923885,20.14806245995015,stop
586237,11.127551,11.735294,17.179246,14.467742,10.342105,20.15474029133882,20.945326087337044,24.14996499293313,21.85406625593911,18.186870967960125,stop
586337,12.211912,12.443662,16.5,14.115142,9.931871,18.566174633071057,19.244993269869635,22.619971994346503,20.30628140475129,16.535870974368102,stop
586437,12.136363,14.017241,16.765684,14.164557,10.229858,17.280212306456846,18.199442815895708,21.449114395477206,19.077936523801032,15.274668379494482,stop
586537,12.098901,12.365546,16.434783,14.017241,9.931871,16.243950045165477,17.032663452716566,20.446248116381767,18.065797419040827,14.206108903595586,stop
586637,12.098901,13.96875,16.631869,14.264331,10.119719,15.414940236132384,16.419880762173253,19.683372293105418,17.305504135232663,13.388830922876467,stop
586737,13.10177,16.178571,19.92857,17.039326000000003,13.545594,14.952306188905908,16.371618809738603,19.73241183448433,17.25226850818613,13.420183538301176,stop
586837,31.281457,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,18.218136351124727,19.769126247790886,22.457760667587465,20.473646006548904,17.40797803064094,stop
